token,tokenToMatch,endReason,tag,tagIndex
The,the,s,considrd,0
Inventors,inventors,c,,
",",",",s,,
Inigo,inigo,s,,
Jones,jones,c,strd,0
.,.,s,,
Ben,ben,c,,
.,.,s,,
Johnson,johnson,c,strd,0
.,.,nn,,
THus,thus,c,,
",",",",s,,
thus,thus,c,,
",",",",s,,
begin,begin,s,,
the,the,s,considrd,0
yearly,yearly,s,,
rites,rites,n,,
Are,are,s,,
due,due,s,,
to,to,s,considrd,0
PAN,pan,s,,
on,on,s,,
these,these,s,,
bright,bright,s,,
nights,nights,c,,
;,;,n,,
His,his,s,considrd,0
Morn,morn,s,strd,0
now,now,s,,
rises,rises,c,strd,0
",",",",s,,
and,and,s,,
invites,invites,n,,
To,to,s,considrd,0
sports,sports,c,,
",",",",s,,
to,to,s,considrd,0
dances,dances,c,,
",",",",s,,
and,and,s,,
delights,delights,c,,
:,:,n,,
All,all,s,,
Envious,envious,c,,
",",",",s,,
and,and,s,,
Profane,profane,s,strd,0
away,away,c,,
",",",",n,,
This,this,s,considrd,0
is,is,s,considrd,0
the,the,s,considrd,0
Shepherds,shepherds,s,,
Holy,holy,c,strd,0
Day,day,c,strd,1
.,.,nn,,
Strew,strew,c,,
",",",",s,,
strew,strew,c,,
",",",",s,,
the,the,s,considrd,0
glad,glad,s,,
and,and,s,,
smiling,smiling,s,,
ground,ground,n,,
With,with,s,considrd,0
every,every,s,,
flower,flower,c,,
",",",",s,,
yet,yet,s,,
not,not,s,,
confound,confound,n,,
The,the,s,considrd,0
Prime-rose,prime-rose,s,,
drop,drop,c,,
",",",",s,,
the,the,s,considrd,0
Springs,springs,s,,
own,own,s,strd,0
spouse,spouse,c,,
",",",",n,,
Bright,bright,s,,
Dayes-eyes,dayes-eyes,c,,
",",",",s,,
and,and,s,,
the,the,s,considrd,0
lips,lips,s,,
of,of,s,considrd,0
Cowes,cowes,c,,
",",",",n,,
The,the,s,considrd,0
Garden-star,garden-star,c,,
",",",",s,,
the,the,s,considrd,0
Queen,queen,s,strd,0
of,of,s,considrd,0
May,may,c,,
",",",",n,,
The,the,s,considrd,0
Rose,rose,c,considrd,0
",",",",s,,
to,to,s,considrd,0
crown,crown,s,strd,0
the,the,s,considrd,0
Holy,holy,c,strd,0
Day,day,c,strd,1
.,.,nn,,
Drop,drop,c,,
",",",",s,,
drop,drop,s,,
you,you,s,considrd,0
