token,tokenToMatch,endReason,tag,tagIndex
(...),(...),s,,
To,to,s,considrd,0
which,which,s,considrd,0
limits,limits,c,,
",",",",s,,
when,when,s,,
I,i,s,considrd,0
had,had,s,considrd,0
apted,apted,s,,
my,my,s,considrd,0
invention,invention,c,strd,0
",",",",s,,
and,and,s,,
being,being,s,,
to,to,s,considrd,0
bring,bring,s,,
news,news,n,strd,0
of,of,s,considrd,0
them,them,s,,
from,from,s,,
the,the,s,considrd,0
Sea,sea,c,,
",",",",s,,
I,i,s,considrd,0
induced,induced,s,strd,0
Boreas,boreas,c,,
",",",",s,,
one,one,s,,
of,of,s,considrd,0
the,the,s,considrd,0
winds,winds,c,,
",",",",s,,
as,as,s,considrd,0
my,my,s,considrd,0
fittest,fittest,n,,
Messenger,messenger,c,,
;,;,s,,
presenting,presenting,s,,
him,him,s,,
thus,thus,nn,,
In,in,s,considrd,0
a,a,s,considrd,0
robe,robe,s,,
of,of,s,considrd,0
Russet,russet,s,,
and,and,s,,
White,white,s,,
mixed,mixed,c,strd,0
",",",",s,,
full,full,c,,
",",",",s,,
and,and,s,,
bagg'd,bagg'd,c,,
;,;,s,,
his,his,s,considrd,0
hair,hair,s,strd,0
and,and,s,,
beard,beard,n,,
rough,rough,c,,
",",",",s,,
and,and,s,,
horride,horride,c,,
;,;,s,,
his,his,s,considrd,0
wings,wings,s,,
gray,gray,c,,
",",",",s,,
and,and,s,,
full,full,s,,
of,of,s,considrd,0
snow,snow,c,,
",",",",s,,
and,and,s,,
ycicles,ycicles,c,,
:,:,s,,
his,his,s,considrd,0
mantle,mantle,n,,
borne,borne,s,,
from,from,s,,
him,him,s,,
with,with,s,considrd,0
wyres,wyres,c,,
",",",",s,,
and,and,s,,
in,in,s,considrd,0
several,several,s,strd,0
puffes,puffes,c,,
;,;,s,,
his,his,s,considrd,0
feet,feet,nn,,
But,but,s,,
before,before,c,,
",",",",s,,
in,in,s,considrd,0
midst,midst,s,,
of,of,s,considrd,0
the,the,s,considrd,0
Hall,hall,c,,
",",",",s,,
to,to,s,considrd,0
keep,keep,s,strd,0
the,the,s,considrd,0
state,state,s,,
of,of,s,considrd,0
the,the,s,considrd,0
Feast,feast,c,,
",",",",s,,
and,and,s,,
Season,season,c,,
",",",",n,,
I,i,s,considrd,0
had,had,s,considrd,0
placed,placed,s,,
January,january,c,strd,0
",",",",s,,
in,in,s,considrd,0
a,a,s,considrd,0
throne,throne,s,,
of,of,s,considrd,0
silver,silver,c,strd,0
;,;,s,,
his,his,s,considrd,0
robe,robe,s,,
of,of,s,considrd,0
ash,ash,c,strd,0
color,color,c,strd,1
",",",",s,,
long,long,c,,
",",",",n,,
fringed,fringed,s,,
with,with,s,considrd,0
silver,silver,c,strd,0
;,;,s,,
a,a,s,considrd,0
white,white,s,,
mantle,mantle,c,,
;,;,s,,
his,his,s,considrd,0
wings,wings,s,,
white,white,c,,
",",",",s,,
and,and,s,,
his,his,s,considrd,0
buskins,buskins,c,,
