token,tokenToMatch,endReason,tag,tagIndex
THE,the,s,considrd,0
CITY,city,s,,
WIT,wit,c,,
",",",",s,,
OR,or,c,considrd,0
",",",",s,,
The,the,s,considrd,0
Woman,woman,s,strd,0
wears,wears,s,,
the,the,s,considrd,0
BREECHES,breeches,c,,
.,.,nn,,
A,a,s,considrd,0
COMEDY,comedy,c,,
.,.,nn,,
LONDON,london,c,,
",",",",s,,
Printed,printed,s,,
by,by,s,considrd,0
T,t,c,,
.,.,s,,
R,r,c,,
.,.,s,,
for,for,s,considrd,0
Richard,richard,s,,
Marriot,marriot,c,,
",",",",s,,
and,and,s,,
Thomas,thomas,s,,
Dring,dring,c,,
",",",",s,,
and,and,s,,
are,are,s,,
to,to,s,considrd,0
be,be,n,considrd,0
sold,sold,s,,
at,at,s,considrd,0
their,their,s,considrd,0
Shops,shops,s,,
in,in,s,considrd,0
Fleet,fleet,c,strd,0
Street,street,c,strd,1
",",",",s,,
1653,1653,nn,,
Quot,quot,s,,
quot,quot,s,,
adestis,adestis,c,,
",",",",s,,
salvete,salvete,c,,
",",",",s,,
salvetote,salvetote,s,,
Gentlemen,gentlemen,c,,
",",",",s,,
YOu,you,s,considrd,0
see,see,s,,
I,i,s,considrd,0
come,come,s,,
unarmed,unarmed,s,strd,0
among,among,n,,
you,you,c,considrd,0
",",",",s,,
sine,sine,s,,
Virga,virga,s,,
aut,aut,s,,
Ferula,ferula,c,,
",",",",s,,
without,without,s,,
Rod,rod,s,,
or,or,s,considrd,0
Ferular,ferular,c,,
",",",",s,,
which,which,s,considrd,0
are,are,s,,
the,the,s,considrd,0
Pedants,pedants,n,,
weapons,weapons,c,,
.,.,s,,
Id,id,s,,
est,est,c,,
",",",",s,,
that,that,s,considrd,0
is,is,s,considrd,0
to,to,s,considrd,0
say,say,c,,
",",",",s,,
I,i,s,considrd,0
come,come,s,,
not,not,s,,
hither,hither,s,,
to,to,s,considrd,0
be,be,s,considrd,0
an,an,s,,
Instructor,instructor,s,,
to,to,s,considrd,0
any,any,n,,
of,of,s,considrd,0
you,you,c,considrd,0
",",",",s,,
that,that,s,considrd,0
were,were,s,,
Aquilam,aquilam,s,,
volare,volare,s,,
docere,docere,c,,
",",",",s,,
aut,aut,s,,
Delphinum,delphinum,s,,
natare,natare,c,,
",",",",s,,
to,to,s,considrd,0
teach,teach,s,,
the,the,n,considrd,0
Ape,ape,c,,
",",",",s,,
well,well,s,,
learned,learned,s,,
as,as,s,considrd,0
my,my,s,considrd,0
self,self,c,strd,0
.,.,s,,
Nor,nor,s,,
came,came,s,,
I,i,s,considrd,0
