token,tokenToMatch,endReason,tag,tagIndex
IS,is,s,considrd,0
this,this,s,considrd,0
the,the,s,considrd,0
aid,aid,s,strd,0
our,our,s,,
Cousin,cousin,s,strd,0
Burgundy,burgundy,c,strd,0
",",",",n,,
And,and,s,,
the,the,s,considrd,0
great,great,s,considrd,0
Constable,constable,s,,
of,of,s,considrd,0
France,france,s,,
assured,assured,s,,
us,us,c,strd,0
?,?,n,,
Have,have,s,strd,0
we,we,s,considrd,0
marched,marched,s,,
thus,thus,s,,
farte,farte,s,,
through,through,s,,
the,the,s,considrd,0
heart,heart,s,,
of,of,s,considrd,0
France,france,c,,
?,?,n,,
And,and,s,,
with,with,s,considrd,0
the,the,s,considrd,0
terror,terror,s,,
of,of,s,considrd,0
our,our,s,,
English,english,s,,
Drums,drums,c,,
:,:,n,,
kourde,kourde,s,,
the,the,s,considrd,0
poor,poor,s,strd,0
trembling,trembling,s,,
French,french,c,,
",",",",s,,
which,which,s,considrd,0
leave,leave,s,strd,0
their,their,s,considrd,0
towns,towns,n,,
That,that,s,considrd,0
now,now,s,,
the,the,s,considrd,0
Wolves,wolves,s,strd,0
affrighted,affrighted,s,,
from,from,s,,
the,the,s,considrd,0
fields,fields,c,,
",",",",n,,
Do,do,s,,
get,get,s,,
their,their,s,considrd,0
pray,pray,c,,
",",",",s,,
and,and,s,,
kennell,kennell,s,,
in,in,s,considrd,0
their,their,s,considrd,0
streets,streets,c,,
?,?,n,,
Our,our,s,,
thundering,thundering,s,strd,0
Canons,canons,c,,
",",",",s,,
now,now,s,,
this,this,s,considrd,0
fortnight,fortnight,s,,
space,space,c,,
",",",",n,,
Like,like,s,,
common,common,s,considrd,0
Bell-men,bell-men,s,,
in,in,s,considrd,0
some,some,s,,
market,market,s,,
town,town,c,strd,0
",",",",n,,
Have,have,s,strd,0
cried,cried,s,,
the,the,s,considrd,0
Constable,constable,s,,
and,and,s,,
Burgundy,burgundy,c,strd,0
:,:,n,,
But,but,s,,
yet,yet,s,,
I,i,s,considrd,0
see,see,s,,
they,they,s,considrd,0
come,come,s,,
not,not,s,,
to,to,s,considrd,0
our,our,s,,
aid,aid,c,strd,0
",",",",n,,
We,we,s,strd,0
Will,will,s,strd,1
bring,bring,s,,
them,them,s,,
in,in,c,considrd,0
",",",",s,,
or,or,s,considrd,0
by,by,s,considrd,0
the,the,s,considrd,0
blessed,blessed,s,,
light,light,c,,
",",",",n,,
We,we,s,strd,0
Will,will,s,strd,1
search,search,s,,
the,the,s,considrd,0
Ground-stilles,ground-stilles,s,,
of,of,s,considrd,0
their,their,s,considrd,0
Cittis,cittis,s,,
walls,walls,c,strd,0
",",",",n,,
Since,since,s,,
you,you,s,considrd,0
have,have,s,strd,0
brought,brought,s,,
me,me,s,,
hither,hither,c,,
:,:,s,,
I,i,s,considrd,0
will,will,s,,
make,make,c,,
",",",",n,,
The,the,s,considrd,0
proudest,proudest,s,,
Tower,tower,s,,
that,that,s,considrd,0
stands,stands,s,,
in,in,s,considrd,0
France,france,s,,
to,to,s,considrd,0
quake,quake,c,,
",",",",n,,
I,i,s,considrd,0
marvel,marvel,s,strd,0
Scales,scales,s,,
returns,returns,s,strd,0
not,not,c,,
",",",",s,,
for,for,s,considrd,0
by,by,s,considrd,0
him,him,n,,
I,i,s,considrd,0
do,do,s,strd,0
respect,respect,s,,
to,to,s,considrd,0
hear,hear,s,strd,0
their,their,s,considrd,0
resolutions,resolutions,c,,
.,.,nn,,
My,my,s,considrd,0
Sovereign,sovereign,s,strd,0
he,he,s,considrd,0
is,is,s,considrd,0
happily,happily,s,,
returnde,returnde,c,,
.,.,nn,,
Welcome,welcome,s,,
my,my,s,considrd,0
Lord,lord,c,,
",",",",s,,
welcome,welcome,s,,
good,good,s,,
Cousin,cousin,s,strd,0
Scales,scales,c,,
",",",",n,,
What,what,s,,
news,news,s,strd,0
from,from,s,,
Burgundy,burgundy,c,strd,0
",",",",s,,
what,what,s,,
is,is,s,considrd,0
his,his,s,considrd,0
answer,answer,c,,
?,?,n,,
What,what,s,,
comes,comes,s,,
he,he,s,considrd,0
to,to,s,considrd,0
our,our,s,,
succor,succor,s,strd,0
as,as,s,considrd,0
he,he,s,considrd,0
promised,promised,c,,
?,?,nn,,
Not,not,s,,
by,by,s,considrd,0
his,his,s,considrd,0
good,good,s,,
will,will,c,strd,0
",",",",s,,
for,for,s,considrd,0
ought,ought,s,,
that,that,s,considrd,0
I,i,s,considrd,0
can,can,s,,
see,see,n,,
He,he,s,considrd,0
lingers,lingers,s,,
still,still,s,,
in,in,s,considrd,0
his,his,s,considrd,0
long,long,s,,
fiedge,fiedge,s,,
at,at,s,considrd,0
Nuse,nuse,c,,
.,.,n,,
I,i,s,considrd,0
vrgde,vrgde,s,,
his,his,s,considrd,0
promise,promise,s,,
and,and,s,,
your,your,s,,
expectation,expectation,c,,
",",",",n,,
Even,even,s,strd,0
to,to,s,considrd,0
the,the,s,considrd,0
force,force,s,,
and,and,s,,
compass,compass,s,strd,0
of,of,s,considrd,0
my,my,s,considrd,0
spirit,spirit,c,,
",",",",n,,
I,i,s,considrd,0
cheerde,cheerde,s,,
my,my,s,considrd,0
firm,firm,s,strd,0
persuasions,persuasions,c,strd,0
",",",",s,,
with,with,s,considrd,0
your,your,s,,
hopes,hopes,c,,
.,.,n,,
And,and,s,,
gylded,gylded,s,,
them,them,s,,
with,with,s,considrd,0
my,my,s,considrd,0
best,best,s,,
Oratorie,oratorie,c,,
",",",",n,,
I,i,s,considrd,0
framde,framde,s,,
my,my,s,considrd,0
speech,speech,s,,
still,still,s,,
fitly,fitly,s,,
as,as,s,considrd,0
I,i,s,considrd,0
^ound,^ound,n,,
The,the,s,considrd,0
temper,temper,s,,
of,of,s,considrd,0
his,his,s,considrd,0
humor,humor,c,,
",",",",s,,
to,to,s,considrd,0
be,be,s,considrd,0
wrought,wrought,s,,
upon,upon,c,strd,0
",",",",n,,
But,but,s,,
still,still,s,,
I,i,s,considrd,0
found,found,s,,
him,him,s,,
earthly,earthly,c,,
",",",",s,,
vnresolude,vnresolude,c,,
",",",",n,,
Muddie,muddie,c,,
",",",",s,,
and,and,s,,
me,me,s,,
thought,thought,s,,
ever,ever,s,strd,0
through,through,s,,
his,his,s,considrd,0
eyes,eyes,c,strd,0
",",",",n,,
I,i,s,considrd,0
saw,saw,s,,
his,his,s,considrd,0
wavering,wavering,s,strd,0
and,and,s,,
unsettled,unsettled,s,strd,0
spirit,spirit,c,,
",",",",n,,
And,and,s,,
to,to,s,considrd,0
be,be,s,considrd,0
short,short,c,,
",",",",s,,
subtle,subtle,s,strd,0
and,and,s,,
treacherous,treacherous,c,strd,0
",",",",n,,
And,and,s,,
one,one,s,,
that,that,s,considrd,0
does,does,s,strd,0
entend,entend,s,,
no,no,s,considrd,0
good,good,s,,
to,to,s,considrd,0
you,you,c,considrd,0
",",",",n,,
And,and,s,,
he,he,s,considrd,0
will,will,s,,
come,come,c,,
",",",",s,,
and,and,s,,
yet,yet,s,,
he,he,s,considrd,0
wants,wants,s,strd,0
power,power,c,,
",",",",n,,
He,he,s,considrd,0
would,would,s,,
fai^e,fai^e,s,,
come,come,c,,
",",",",s,,
but,but,s,,
may,may,s,,
not,not,s,,
leave,leave,s,strd,0
the,the,s,considrd,0
siege,siege,c,,
",",",",n,,
He,he,s,considrd,0
hopes,hopes,s,,
he,he,s,considrd,0
shall,shall,c,considrd,0
",",",",s,,
but,but,s,,
yet,yet,s,,
he,he,s,considrd,0
knows,knows,s,strd,0
not,not,s,,
when,when,c,,
",",",",n,,
He,he,s,considrd,0
purposed,purposed,c,,
",",",",s,,
but,but,s,,
some,some,s,,
unpediments,unpediments,c,,
",",",",n,,
Have,have,s,strd,0
hindered,hindered,s,strd,0
his,his,s,considrd,0
determined,determined,s,,
intent,intent,c,,
",",",",n,,
Briefly,briefly,c,,
",",",",s,,
I,i,s,considrd,0
think,think,s,strd,0
he,he,s,considrd,0
will,will,s,,
