token,tokenToMatch,endReason,tag,tagIndex
THe,the,s,considrd,0
palace,palace,s,,
being,being,s,,
hung,hung,s,,
with,with,s,considrd,0
rich,rich,s,,
Babilonian,babilonian,s,,
tapestrie,tapestrie,c,,
",",",",s,,
of,of,s,considrd,0
various,various,s,,
shapes,shapes,n,,
wrought,wrought,s,,
by,by,s,considrd,0
the,the,s,considrd,0
needle,needle,s,,
of,of,s,considrd,0
Semyramas,semyramas,c,,
",",",",s,,
and,and,s,,
perfumed,perfumed,s,,
with,with,s,considrd,0
the,the,s,considrd,0
wealthy,wealthy,s,,
gums,gums,s,,
of,of,n,considrd,0
Parchica,parchica,c,,
",",",",s,,
such,such,s,,
as,as,s,considrd,0
the,the,s,considrd,0
Arabian,arabian,s,,
bird,bird,s,,
fills,fills,s,strd,0
her,her,s,,
nest,nest,s,,
with,with,c,considrd,0
",",",",s,,
when,when,s,,
she,she,s,strd,0
prepares,prepares,s,,
to,to,n,considrd,0
sacrifice,sacrifice,s,,
her,her,s,,
self,self,c,strd,0
",",",",s,,
and,and,s,,
their,their,s,considrd,0
Majesty's,majesty's,s,strd,0
(,(,c,,
clothed,clothed,s,strd,0
in,in,s,considrd,0
the,the,s,considrd,0
precious,precious,s,,
skins,skins,s,,
of,of,n,considrd,0
Ermynes,ermynes,c,,
",",",",s,,
wearing,wearing,s,,
crowns,crowns,c,strd,0
",",",",s,,
whose,whose,s,,
luster,luster,s,strd,0
dimmed,dimmed,s,strd,0
Ariadnes,ariadnes,s,,
coronet,coronet,s,,
embelished,embelished,s,,
with,with,n,considrd,0
the,the,s,considrd,0
glorious,glorious,s,,
Olympian,olympian,s,,
lamps,lamps,c,,
),),s,,
being,being,s,,
seated,seated,c,,
",",",",s,,
the,the,s,considrd,0
first,first,s,,
thing,thing,s,,
obvious,obvious,s,,
to,to,s,considrd,0
the,the,n,considrd,0
sight,sight,c,,
",",",",s,,
was,was,s,,
a,a,s,considrd,0
rich,rich,s,,
ornament,ornament,s,,
that,that,s,considrd,0
enclosed,enclosed,s,,
the,the,s,considrd,0
Scene,scene,c,,
",",",",s,,
on,on,s,,
the,the,s,considrd,0
one,one,s,,
side,side,s,,
stood,stood,s,,
a,a,n,considrd,0
man,man,c,,
",",",",s,,
bearing,bearing,s,,
a,a,s,considrd,0
Scepter,scepter,c,,
",",",",s,,
with,with,s,considrd,0
a,a,s,considrd,0
hand,hand,c,,
",",",",s,,
and,and,s,,
an,an,s,,
eye,eye,s,,
in,in,s,considrd,0
the,the,s,considrd,0
palm,palm,c,strd,0
",",",",s,,
in,in,s,considrd,0
the,the,s,considrd,0
other,other,s,,
hand,hand,n,,
a,a,s,considrd,0
book,book,c,strd,0
",",",",s,,
on,on,s,,
his,his,s,considrd,0
head,head,s,,
a,a,s,considrd,0
chaplet,chaplet,s,,
of,of,s,considrd,0
Amaranthus,amaranthus,c,,
",",",",s,,
his,his,s,considrd,0
curace,curace,s,,
was,was,s,,
of,of,s,considrd,0
gold,gold,c,,
",",",",s,,
with,with,s,considrd,0
a,a,n,considrd,0
palludamentum,palludamentum,s,,
of,of,s,considrd,0
blew,blew,c,,
",",",",s,,
and,and,s,,
antique,antique,s,,
bases,bases,s,,
of,of,s,considrd,0
crimson,crimson,c,,
",",",",s,,
his,his,s,considrd,0
foot,foot,s,,
trampled,trampled,s,,
on,on,s,,
the,the,n,considrd,0
head,head,s,,
of,of,s,considrd,0
a,a,s,considrd,0
Serpent,serpent,c,,
",",",",s,,
by,by,s,considrd,0
him,him,s,,
was,was,s,,
imported,imported,s,,
just,just,s,,
Government,government,c,strd,0
",",",",s,,
opposite,opposite,s,,
to,to,s,considrd,0
him,him,s,,
stood,stood,n,,
two,two,s,,
young,young,s,,
women,women,s,,
in,in,s,considrd,0
draperies,draperies,c,,
",",",",s,,
with,with,s,considrd,0
their,their,s,considrd,0
arms,arms,s,strd,0
joined,joined,c,strd,0
",",",",s,,
the,the,s,considrd,0
one,one,s,,
denoting,denoting,s,,
the,the,n,considrd,0
glory,glory,s,,
of,of,s,considrd,0
Princes,princes,c,,
",",",",s,,
the,the,s,considrd,0
other,other,s,,
mansuetude,mansuetude,c,,
.,.,s,,
The,the,s,considrd,0
curtain,curtain,s,strd,0
was,was,s,,
white,white,c,,
",",",",s,,
and,and,s,,
a,a,s,considrd,0
pale,pale,s,,
red,red,n,considrd,0
in,in,s,considrd,0
panes,panes,c,,
",",",",s,,
which,which,s,considrd,0
suddenly,suddenly,s,strd,0
flying,flying,s,,
up,up,s,,
discovered,discovered,s,,
a,a,s,considrd,0
fair,fair,s,strd,0
prospect,prospect,s,,
of,of,s,considrd,0
the,the,s,considrd,0
palace,palace,c,,
",",",",n,,
and,and,s,,
the,the,s,considrd,0
city,city,s,,
Nicosia,nicosia,c,,
",",",",s,,
which,which,s,considrd,0
being,being,s,,
the,the,s,considrd,0
Metropolis,metropolis,s,,
of,of,s,considrd,0
the,the,s,considrd,0
Kingdom,kingdom,c,strd,0
",",",",s,,
might,might,n,,
(,(,c,,
Synechdocally,synechdocally,c,,
),),s,,
be,be,s,strd,0
taken,taken,s,,
for,for,s,considrd,0
it,it,s,,
all,all,nn,,
The,the,s,considrd,0
Genius,genius,s,,
of,of,s,considrd,0
the,the,s,considrd,0
Country,country,s,,
warned,warned,s,,
by,by,s,considrd,0
a,a,s,considrd,0
loud,loud,s,,
masick,masick,s,,
descended,descended,c,,
",",",",s,,
and,and,s,,
entered,entered,c,strd,0
.,.,nn,,
WHen,when,s,,
Jove,jove,c,,
",",",",s,,
and,and,s,,
nature,nature,s,,
metamorphosed,metamorphosed,n,,
The,the,s,considrd,0
undigested,undigested,s,,
lump,lump,c,,
",",",",s,,
(,(,c,,
which,which,s,considrd,0
was,was,s,,
the,the,s,considrd,0
bed,bed,n,,
Of,of,s,considrd,0
indisposed,indisposed,s,,
confusion,confusion,c,,
),),s,,
a,a,s,considrd,0
rude,rude,s,,
load,load,n,,
Where,where,s,,
scuffling,scuffling,s,,
seeds,seeds,s,strd,0
of,of,s,considrd,0
things,things,s,,
misplac't,misplac't,s,,
abode,abode,c,strd,0
.,.,n,,
Where,where,s,,
springs,springs,c,,
",",",",s,,
ponds,ponds,c,,
",",",",s,,
lakes,lakes,s,,
immense,immense,s,,
and,and,s,,
hewtes,hewtes,s,,
curled,curled,n,strd,0
Were,were,s,,
with,with,s,considrd,0
things,things,s,,
hot,hot,c,,
",",",",s,,
dry,dry,c,,
",",",",s,,
humid,humid,c,,
",",",",s,,
frigid,frigid,s,,
hurld,hurld,c,,
.,.,n,,
So,so,s,,
when,when,s,,
the,the,s,considrd,0
game,game,s,,
is,is,s,considrd,0
played,played,c,strd,0
",",",",s,,
the,the,s,considrd,0
Chessmen,chessmen,s,,
be,be,n,considrd,0
Though,though,s,,
dignified,dignified,s,,
with,with,s,considrd,0
names,names,s,,
of,of,s,considrd,0
majesty,majesty,c,strd,0
",",",",n,,
Though,though,s,,
God-like,god-like,s,,
Kings,kings,c,,
",",",",s,,
or,or,s,considrd,0
reverend,reverend,s,,
Bishops,bishops,s,,
they,they,c,considrd,0
",",",",n,,
Or,or,s,considrd,0
honorable,honorable,s,strd,0
Lords,lords,s,considrd,0
be,be,s,considrd,0
called,called,s,strd,0
in,in,s,strd,0
the,the,s,strd,1
play,play,c,,
",",",",n,,
Or,or,s,considrd,0
Knights,knights,s,,
errand,errand,s,,
or,or,s,considrd,0
worthies,worthies,s,,
of,of,s,considrd,0
the,the,s,considrd,0
grown,grown,c,strd,0
",",",",n,,
