token,tokenToMatch,endReason,tag,tagIndex
NOw,now,s,,
help,help,s,,
good,good,s,,
hap,hap,s,,
to,to,s,considrd,0
further,further,s,,
mine,mine,s,,
intent,intent,c,strd,0
",",",",n,,
Cross,cross,s,strd,0
not,not,s,,
my,my,s,considrd,0
youth,youth,s,,
with,with,s,considrd,0
any,any,s,,
more,more,s,,
extremes,extremes,c,,
:,:,n,,
I,i,s,considrd,0
venture,venture,s,strd,0
life,life,s,,
to,to,s,considrd,0
gain,gain,s,strd,0
my,my,s,considrd,0
liberty,liberty,c,strd,0
",",",",n,,
And,and,s,,
if,if,s,,
I,i,s,considrd,0
die,die,c,,
",",",",s,,
worlds,worlds,s,,
troubles,troubles,s,,
have,have,s,strd,0
an,an,s,,
end,end,c,,
.,.,n,,
Fear,fear,s,strd,0
gins,gins,s,,
dissuade,dissuade,s,strd,0
the,the,s,considrd,0
strength,strength,s,,
of,of,s,considrd,0
my,my,s,considrd,0
resolve,resolve,c,strd,0
",",",",n,,
My,my,s,considrd,0
hold,hold,s,strd,0
will,will,s,,
fail,fail,c,strd,0
",",",",s,,
and,and,s,,
then,then,s,,
alas,alas,s,,
I,i,s,considrd,0
fall,fall,c,,
",",",",n,,
And,and,s,,
if,if,s,,
I,i,s,considrd,0
fall,fall,c,,
",",",",s,,
no,no,s,considrd,0
question,question,s,,
death,death,s,,
is,is,s,considrd,0
next,next,c,,
:,:,n,,
Better,better,s,,
desist,desist,c,,
",",",",s,,
and,and,s,,
live,live,s,strd,0
in,in,s,considrd,0
prison,prison,s,,
still,still,c,,
.,.,n,,
Prison,prison,s,,
said,said,s,,
I,i,c,considrd,0
?,?,s,,
nay,nay,c,,
",",",",s,,
rather,rather,s,,
death,death,s,,
than,than,s,,
so,so,c,,
:,:,n,,
Comfort,comfort,s,,
and,and,s,,
courage,courage,s,,
come,come,s,,
again,again,s,strd,0
to,to,s,considrd,0
me,me,c,,
",",",",n,,
I,i,s,strd,0
Will,will,s,strd,1
venture,venture,s,strd,0
sure,sure,c,,
:,:,s,,
it,it,s,strd,0
is,is,s,strd,1
but,but,s,,
a,a,s,considrd,0
leap,leap,s,strd,0
for,for,s,considrd,0
life,life,c,,
.,.,n,,
Hoe,hoe,c,,
",",",",s,,
who,who,s,considrd,0
is,is,s,considrd,0
nigh,nigh,c,,
?,?,s,,
some,some,s,,
body,body,s,strd,0
take,take,s,considrd,0
me,me,s,,
up,up,c,strd,0
.,.,n,,
Where,where,s,,
is,is,s,considrd,0
my,my,s,considrd,0
mother,mother,c,,
?,?,s,,
let,let,s,,
me,me,s,,
speak,speak,s,strd,0
with,with,s,considrd,0
her,her,c,,
.,.,n,,
