token,tokenToMatch,endReason,tag,tagIndex
The,the,s,considrd,0
third,third,s,strd,0
day,day,s,,
should,should,s,strd,0
have,have,s,strd,0
been,been,s,strd,0
presented,presented,s,,
to,to,s,considrd,0
her,her,s,,
Majesty,majesty,c,strd,0
",",",",s,,
the,the,s,considrd,0
high,high,n,,
Constable,constable,s,,
of,of,s,considrd,0
Cotsholde,cotsholde,s,,
but,but,s,,
the,the,s,considrd,0
weather,weather,s,,
so,so,s,,
unfit,unfit,c,strd,0
",",",",s,,
that,that,s,considrd,0
it,it,s,,
was,was,s,,
not,not,c,,
.,.,s,,
But,but,s,,
this,this,s,considrd,0
it,it,n,,
should,should,s,,
have,have,s,strd,0
been,been,c,strd,0
",",",",s,,
one,one,s,,
clothed,clothed,s,,
all,all,s,,
in,in,s,considrd,0
sheepes-skins,sheepes-skins,c,,
",",",",s,,
face,face,s,,
and,and,s,,
all,all,s,,
spoke,spoke,s,strd,0
this,this,s,considrd,0
by,by,n,considrd,0
his,his,s,considrd,0
interpreter,interpreter,nn,,
MAy,may,s,,
it,it,s,,
please,please,s,,
your,your,s,,
highness,highness,c,strd,0
",",",",s,,
this,this,s,considrd,0
is,is,s,considrd,0
the,the,s,considrd,0
great,great,s,considrd,0
Constable,constable,s,,
and,and,s,,
commandadore,commandadore,s,,
of,of,n,considrd,0
Cotsholde,cotsholde,c,,
",",",",s,,
he,he,s,considrd,0
speaks,speaks,s,,
no,no,s,considrd,0
language,language,c,,
",",",",s,,
but,but,s,,
the,the,s,considrd,0
Rammish,rammish,s,,
tongue,tongue,c,,
",",",",s,,
such,such,s,,
sheepishe,sheepishe,n,,
governors,governors,s,strd,0
there,there,s,considrd,0
are,are,c,,
",",",",s,,
that,that,s,considrd,0
can,can,s,,
say,say,s,,
no,no,s,considrd,0
more,more,s,,
to,to,s,considrd,0
a,a,s,considrd,0
messenger,messenger,s,,
then,then,s,,
he,he,c,considrd,0
",",",",s,,
(,(,c,,
Bea,bea,c,,
"),","),",s,,
this,this,n,considrd,0
therefore,therefore,c,strd,0
",",",",s,,
as,as,s,considrd,0
signifying,signifying,s,,
his,his,s,considrd,0
duty,duty,s,strd,0
to,to,s,considrd,0
your,your,s,,
Majesty,majesty,c,strd,0
",",",",s,,
and,and,s,,
al,al,s,considrd,0
our,our,s,,
desires,desires,c,,
",",",",s,,
I,i,s,considrd,0
am,am,n,,
commanded,commanded,s,,
to,to,s,considrd,0
be,be,s,considrd,0
his,his,s,considrd,0
interpreter,interpreter,c,,
",",",",s,,
or,or,s,considrd,0
shepherds,shepherds,s,strd,0
star,star,c,strd,0
",",",",s,,
pointing,pointing,s,,
directly,directly,s,,
to,to,n,considrd,0
Cotshold,cotshold,c,,
",",",",s,,
and,and,s,,
in,in,s,considrd,0
Cotshold,cotshold,c,,
",",",",s,,
to,to,s,considrd,0
Sudley,sudley,c,,
",",",",s,,
made,made,s,,
us,us,s,strd,0
expect,expect,s,,
some,some,s,,
wonder,wonder,c,,
",",",",s,,
and,and,s,,
of,of,s,considrd,0
the,the,n,considrd,0
eldest,eldest,c,,
",",",",s,,
ask,ask,s,strd,0
some,some,s,,
counsel,counsel,c,,
",",",",s,,
it,it,s,,
was,was,s,,
resolved,resolved,s,strd,0
by,by,s,considrd,0
the,the,s,considrd,0
ancientst,ancientst,c,,
",",",",s,,
that,that,s,considrd,0
such,such,s,,
a,a,s,considrd,0
one,one,n,,
should,should,s,,
come,come,c,,
",",",",s,,
by,by,s,considrd,0
whom,whom,s,strd,0
all,all,s,,
the,the,s,considrd,0
shepherds,shepherds,s,strd,0
should,should,s,,
have,have,s,strd,0
their,their,s,considrd,0
flocks,flocks,s,,
in,in,s,considrd,0
safety,safety,c,,
",",",",n,,
and,and,s,,
their,their,s,considrd,0
own,own,s,,
lives,lives,c,strd,0
",",",",s,,
all,all,s,,
the,the,s,considrd,0
country,country,s,strd,0
quietness,quietness,c,strd,0
",",",",s,,
and,and,s,,
the,the,s,considrd,0
whole,whole,s,,
world,world,n,,
astonishment,astonishment,c,,
:,:,s,,
our,our,s,,
Constable,constable,s,,
commands,commands,s,strd,0
this,this,s,considrd,0
day,day,s,,
to,to,s,considrd,0
be,be,s,considrd,0
kept,kept,s,,
holliday,holliday,c,,
",",",",s,,
all,all,s,,
our,our,n,,
shepherds,shepherds,s,strd,0
are,are,s,,
assembled,assembled,c,,
",",",",s,,
and,and,s,,
if,if,s,,
shepherds,shepherds,s,strd,0
pastimes,pastimes,s,,
may,may,s,,
please,please,c,,
",",",",s,,
how,how,s,,
joyful,joyful,n,strd,0
would,would,s,,
they,they,s,considrd,0
be,be,s,considrd,0
if,if,s,,
it,it,s,,
would,would,s,,
please,please,s,,
you,you,s,considrd,0
to,to,s,considrd,0
see,see,s,,
them,them,c,,
;,;,s,,
which,which,s,considrd,0
if,if,s,,
you,you,s,considrd,0
